set i:= A B C D E;
set p:= 1 2 3 4 5 6 7 8 9 10 11 12;
set j:= A B C D E;
set m:= m1;
set c:= c1;

param alpha:     A       B       C       D       E    :=
A                0     10.124  10.741  10.088  15.453
B              5.3728    0     94.898  90.227  79.925
C              7.4376  55.306    0     344.55  246.24
D              12.390  53.407  233.17     0    585.68
E              24.877  62.789  217.97  638.53    0    ;

param beta:       A       B       C       D       E     :=
A                 0     614.43  1360.3  2251.4  4772.9
B              -65.089    0     725.28  1596.1  4079.6
C              -63.31   -139.46    0    797.06  3202.7
D              -65.262   145.43 -181.09    0    2144.2
E              -65.151  -145.94 -248.93 -301.08   0     ;


param Ttrans:          A           B           C           D           E   :=
A                      0         0.211       0.469       0.845       1.636
B                   20.994         0         0.256       0.611       1.425
C                   24.605       3.619        0          0.305       1.214
D                   25.725       4.746       1.128          0        0.864
E                   26.347       5.380       1.762       0.634         0     ;

param uss:=
m1 A 10
m1 B 100
m1 C 400
m1 D 1000
m1 E 2500;

param Coper:=
A 0.13
B 0.22
C 0.35
D 0.29
E 0.25;

param Prc:=
A 200
B 150
C 130
D 125
E 120;
param r:=
A    9.033
B   80.000
C  278.720
D  607.000
E 1250.000;
 
param CB:=
A 100.000
B  75.000
C  65.000
D  62.500
E  60.000;

param Cinv:=
A 20.000
B 15.000
C 13.000
D 12.500
E 12.000;

param D:             1       2       3       4      5        6       8       9       10      11      12   :=
A                   400      0      100     2100   300       0      200     100      0      230     1000
B                  3000     8000    400     1000   4000     1300     0      4500    2000     0      6000
C                  7000     1200    2400      0    300      6500   3400     2900    4500    1300    2500
D                  15000     0      6000    3000  6000     12300   2500     10000   18000    0      14000
E                  31000    20000   1800    2000  20000     2000   1000      0      20000   10000   19000;


param Craw:= 
m1 10;

param theta:=0;

param psi:=168;

param Tmax:= 168;

param Vmin:=
A     0
B     0
C     0
D     0
E     0;

param Vmax:= 
A     200
B     200
C     350
D     3000
E     20000;

param BigM:=10;
